,,Notes,"Distinct regulatory regime for ""mototaxis"" and ""motoapps"".  Uber Moto would be classified as: transporte remunerado privado individual de passageiros insted of the commercial passenger transporation service.","Must have had license for 2+ years, Carteira Nacional de Habilitação (CNH) Categoría A.","A ""remunerated activities"" (EAR) endorsement is added to the driver's license. ",,"When operating vehicles for paid transportation as defined in this Resolution, the driver and passenger must wear a motorcycle helmet with a visor or protective goggles/ ","Under general transit law, the motorcycle helmet must be certified by an organization accredited by INMETRO",Wear a safety vest equipped with retroflective devices. ,,"The performance of toxicological examinations provided for in Article 168, paragraphs 6 and 7, as well as in Article 235-B, VII, of the Consolidation of Labor Laws - CLT, approved by Decree-Law No. 5,452 of 1943, by professional drivers of road passenger transport.",Driver must complete training mandated by CONTRAN.,Required in order to receive commercial vehicle license plates. ,Operators under Lei 12.009 must install a commercial (red) plate. App-based motorcycle taxis cannot operate if the vehicle has a commercial plate.,Requirement to contractr Personal Accident Insurance for Passengers (APP) and Mandatory Insurance for Personal Injuries caused by Motor Vehciles on Land (DPVAT). Private Transportation Motorcycles*,Vehicles must undego a semi-annual inspection to verify mandatory and safety equipment. ,,,,"Under general transit law, it is mandatory, for circulation on public roads for the driver and passenger of a motorcycle [...] to wear a motorcycle helmet, properly fastened to the head by the set formed by the chin strap and buckle, under the lower jaw.",There is no specific mention of service requirmenets in the law. The required course includes modules on road behavior and standard of service.,,The maximum towing capacity must be stated in the Digital Registration and Licensing Certificate (CRLV-e).,,"General transit law, established a minimum passenger age of 10 years old. ",,,,Must be registered with the local and federal authorities.,"Online riders fall under private paid passenger transport and is defined as a service not open to the public, for individual or shared trips requested exclusively by users registered on apps or other online platforms. The specific regulations for these services fall under Lei 13.640 and are maked with (*)",,,,,,"Required vehcicle equipment includes leg and engine protection bars, line-cutting device fixed to the handlebars, rear and side metal bars;
Driver must be at least twenty-ne years of age;
CTB Art. 329  Drivers operating the service must present in advance, a negative certificate of criminal distribution record relating to the crimes of homicide, robbery, rape, and corruption of minors, renewable every five years;
",
Colombia,"At a national-level, motorcycle taxis are banned. Some municipalities turn a blind eye, while other have some local decrees allowing their operations. ",Written,Prohibited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Enforced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Source,https://leyes.co/codigo_nacional_de_transito_terrestre/131.htm; https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.eluniversal.com.co/colombia/2025/03/06/nuevas-senales-de-transito-para-motos-en-colombia-cuidado-con-una-multa/#goog_rewarded,
,,Notes,"The general transit regulations, ommit motorcycles as vehicles allowed to offer passenger service. Additional decrees have asked for the direct restriction of motorcycles who are offering transportation services. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motorcycle lanes in Colombia,
Argentina,"Motorcycle taxis operate in a legal gray area, with only car hailing being regulated. Some cities have passed local ordinances (See: La Rioja - https://www.radiolaciudad947.com.ar/ver_mas.php?id=58956).",Written,Fragmented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Enforced,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,Online riders operate in a legal gray area; only car hailing is regulated,Written,Not present,Present,,,Present,Present,,,,,,Not present,Present,Present,Present,Present,Present,,,Present,,,,Not present,,Not present,,Not present,,,Present,,,,
,,Enforced,,,,,,,,,,,,,Rarely / Never,,,,,,,,,,,,,,,,,,,,,,
,,Source,,,,,https://www.fiafoundation.org/media/fgynmocd/aipf-10-year-helmet-law-report-final_r5_spreads.pdf,https://english.luatvietnam.vn/an-ninh-trat-tu/law-on-road-traffic-order-and-safety-2024-no-36-2024-qh15-360844-d1.html,,,,,,,Decree 03/2021/ND-CP,https://en.vietnamplus.vn/new-decree-simplifies-rules-for-vehicle-inspection-centres-post307712.vnp,"Decision 876/QD-TTg, 2022",,,,,https://thuvienphapluat.vn/van-ban/EN/Giao-thong-Van-tai/Law-36-2024-QH15-Road-Traffic-Order-and-Safety/620124/tieng-anh.aspx,,,,,,,,https://thuvienphapluat.vn/van-ban/EN/Giao-thong-Van-tai/Decree-158-2024-ND-CP-Road-Transport/644980/tieng-anh.aspx,,,https://vietnamexploration.com/p/266/motorbike-guide/driving-a-motorcycle-in-vietnam,,,,
,,Notes,No Vietnamese legislation addresses motorcycle-taxis.,,,,Well studied as an example of  imp[roving helmet usage,Helmets must meet standard QCVN 2:2008/BKHCN,,,,,,"Only required for cars, not moto-taxis",Required but low compliance,Motorcycle emission inspections to start in 2025,Targetting 22% electric motorcycles by 2030.,Just registration fee exemption through Feb 2027 and a lower special consumption tax.,"Banned petrol motorcycles from within Hanoi's Ring Road 1 from July 2026, and the ban progresses outwards. every two years",,,Only one additional person except for children under 12; sick people; elderly,,,,,,,,Classified ride-hailing companies as transport companies. Decree 158/2024 explicitly only covers car transport businesses and moto-taxis remain unregulated.,,,Motorcycles banned from expressways nationwide,,,,
Philippines,"There has been a pilot since 2019, while the law awaits congressional approval",Written,Fragmented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mixed status,,,
,,Enforced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Source,https://www.abs-cbn.com/news/business/2025/5/6/dotr-to-allow-motorcycle-taxis-to-continue-operating-while-waiting-for-law-1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lawyer-philippines.com/articles/legal-basis-for-habal-habal-motorcycle-taxi-operations-in-the-philippines,,,
,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Under the pilot, fares are set for operators (through platforms): P 50 for the firt 2 km, 10 / km for 2-9 km, and 15 / km beyond 9 km. Differetent fares in Cebu.",,,
Malaysia,The Land Public Transport Act 2010 excludes motorcycles; defines e-hailing as vehicles with 4-11 seats only. A 2020 GrabBike pilot was terminated in 2021 citing safety concerns.,Written,Prohibited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Enforced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Source,https://tcclaw.com.my/wp-content/uploads/2025/08/Land-Public-Transport-Act-2010.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,Informal moto-taxis not regulated; ride-hailing apps now regulated as of 2021 under Prakas no.100,Written,Not present,,,,,,,,,,,,,,,,,,,,,,,,,,,Present,,,,,,,
,,Enforced,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,
,,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.vdb-loi.com/wp-content/uploads/2021/07/New-regulation-in-Cambodia-on-road-transportation-services-provided-with-the-use-of-digital-technologies.pdf,,,,,,,
,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laos,Motorcycle-taxis absent; only three-wheelers,Written,Not present,,,,,,,,,,,,,,,,,,,,,,,Not present,,Not present,,,,,,,,,
,,Enforced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,,Written,Not present,,,,,,,,,,,,,,,,,,,,,,,Not present,,Not present,,,,,,,,,
,,Enforced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Notes,High personal motorcycle use & regulations exist for them,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,2015 law regulations them for now; more comprehensive Bill has been stuck in Senate for several years now,Written,Present,Present,Not present,Present,Present,Present,Present,Present,Not present,Not present,Not present,Not present,Present,Not present,Present,Present,Present,Present,Present,Present,Present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,,
,,Enforced,Rarely / Never,,,,,,Rarely / Never,Rarely / Never,,,,,,,,,,Rarely / Never,,,,,,,,,,,,,,,,,
,,Source,https://new.kenyalaw.org/akn/ke/act/ln/2015/19/eng@2015-03-06,https://kenyalaw.org/kl/fileadmin/pdfdownloads/Acts/TrafficAct_Cap.403_No.37and38of2012Amendments.pdf,,From Andrea's interview with Paul King'ori and other Kenyan regulators,https://new.kenyalaw.org/akn/ke/act/ln/2015/19/eng@2015-03-06,https://new.kenyalaw.org/akn/ke/act/ln/2015/19/eng@2015-03-06,https://new.kenyalaw.org/akn/ke/act/ln/2015/19/eng@2015-03-06/source.pdf,https://new.kenyalaw.org/akn/ke/act/ln/2015/19/eng@2015-03-06/source.pdf,,https://kenyalaw.org/kl/fileadmin/pdfdownloads/Acts/TrafficAct_Cap.403_No.37and38of2012Amendments.pdf,,https://www.the-star.co.ke/news/2026-02-23-what-different-number-plates-mean,https://new.kenyalaw.org/akn/ke/act/ln/2015/19/eng@2015-03-06,https://kenyalaw.org/kl/fileadmin/pdfdownloads/Acts/TrafficAct_Cap.403_No.37and38of2012Amendments.pdf,,Annual budget,,https://new.kenyalaw.org/akn/ke/act/ln/2015/19/eng@2015-03-06,https://kenyalaw.org/kl/fileadmin/pdfdownloads/Acts/TrafficAct_Cap.403_No.37and38of2012Amendments.pdf,https://new.kenyalaw.org/akn/ke/act/ln/2015/19/eng@2015-03-06#sec_10,https://new.kenyalaw.org/akn/ke/act/ln/2015/19/eng@2015-03-06,https://new.kenyalaw.org/akn/ke/act/ln/2022/120/eng@2022-12-31,https://new.kenyalaw.org/akn/ke/act/ln/2015/19/eng@2015-03-06#sec_10,,,,,https://new.kenyalaw.org/akn/ke/act/ln/2022/120/eng@2022-12-31,,,,,,,
,,Notes,"NTSA passed Regulations in 2015. However, they have not ever really been operationalized.",103B(5) in the Traffic Act 2012 require it,"Not required in 2015, 2012 legislation. 2015 regulation only requires that boda bodas have ""third party public service vehicle insurance""",Tracking all SACCOs in Nairobi,Specifically requires helmets be yellow for motorcycle-taxis.,"""...which comply with the standards established by the Kenya Bureau of Standards...""",Every motorcycle must be sold with two reflector jackets with the motorcycle registration number printed on them.,Every motorcycle must be sold with two reflector jackets with the motorcycle registration number printed on them.,,Driving tests are required for a license; but training itself does not seem to be.,Not directly required. Required for insurance; and required for some platforms (such as Uber),"*all* motorcycles, tuktuks have yellow plates.",Requires third party insurance. ,Traffic Act only requires certain basics,,0 VAT on e-motorcycles; 0 excise duty on e-motorcycles,Green plates; others,2015 Regulation requires it,All regulated in the Traffic Act,"6(c) ""not carry more than one person at a time;""",,"TNC regulations 2022 require 6 types of data to be kept for 3 years, and shall provide copies of the records ""on request and after adequate notice"". But TNC 2022 excludes motorcycles.","2(a) ""a child who is less than thirteen years old may be carried together with an adult provided the child is seated between the rider and the adult and wears a helmet designed for children""",Khalwale Bill (2023) would have stages as the foundation of SACCOs,"However, Nakuru County built several sheds for boda boda stages.",,,TNC 2022 regulations exclude motorcycles.,No requirement for commercial operating licence; no requirement for stage; no requirement for association.,No legal requirements specific to motorcycle-taxis (general driving license renewal still required),Nairobi CBD ban from 2015 upheld by courts; never legally overturned by Sakaja though in many ways he stopped enforcing it (but has picked back up recently),No regulations on moto-taxi fares in Kenya.,No requirement for GPS or other tracking (though it's in the Khalwale bill).,,
Tanzania,,Written,Present,Present,Present,Not present,Present,Mixed status,Not present,Present,Not present,Present,Present,Present,Present,Present,Not present,Mixed status,Not present,Mixed status,Present,Present,Not present,Present,Present,Present,No data,Mixed status,Not present,Not present,Present,Present,Present,Not present,Not present,Present,
,,Enforced,,,Sometimes,,,Rarely / Never,,Rarely / Never,,Rarely / Never,,Sometimes,,,,,,,,,,Rarely / Never,,,,,,,,,,,,,
,,Source,https://tanzlii.org/en/akn/tz/act/gn/2020/78/eng@2020-02-07,https://www.tra.go.tz/images/uploads/acts/The_Road_Traffic_Act.pdf,https://media.tanzlii.org/media/legislation/331858/source_file/0f7eb67b9a2ae373/2020-78.pdf,,1973 Road Traffic Act,https://www.tbs.go.tz/uploads/files/LIST%20OF%20COMPULSORY%20TANZANIA%20STANDARD%20AS%20OF%20JULY%20%202022.pdf,,https://media.tanzlii.org/media/legislation/331858/source_file/0f7eb67b9a2ae373/2020-78.pdf,,https://www.kaitu.ac.tz/best-bora-kaitu-driving-school-vtc-iringa-mafinga-tanzania-vocational-training-college-new-mpya-posts_35_tanzaniafocused-driving-questions-answers.php,https://media.tanzlii.org/media/legislation/331858/source_file/0f7eb67b9a2ae373/2020-78.pdf,https://media.tanzlii.org/media/legislation/331858/source_file/0f7eb67b9a2ae373/2020-78.pdf,https://www.nps.go.tz/uploads/documents/sw-1751369942-The%20Motor%20Vehicles%20Insurance%20Act.pdf,https://media.tanzlii.org/media/legislation/331858/source_file/0f7eb67b9a2ae373/2020-78.pdf,,,,https://media.tanzlii.org/media/legislation/331858/source_file/0f7eb67b9a2ae373/2020-78.pdf,https://www.tra.go.tz/images/uploads/acts/The_Road_Traffic_Act.pdf,https://www.latra.go.tz/uploads/documents/sw-1737920488-PRIVATE%20HIRE%20SERVICES%20AMENDMENTS%202024.pdf,https://www.tra.go.tz/images/uploads/acts/The_Road_Traffic_Act.pdf,https://www.latra.go.tz/uploads/documents/sw-1668849864-WEBSITE-RIDE%20HAILING.pdf,https://www.latra.go.tz/uploads/documents/sw-1737920488-PRIVATE%20HIRE%20SERVICES%20AMENDMENTS%202024.pdf,https://media.tanzlii.org/media/legislation/331858/source_file/0f7eb67b9a2ae373/2020-78.pdf,,https://allafrica.com/stories/201310080089.html,,,https://www.downtoearth.org.in/africa/solving-one-crisis-by-deepening-another-critics-question-tanzanias-decision-to-tax-imported-vehicles-and-fund-its-hiv-response,https://media.tanzlii.org/media/legislation/331858/source_file/0f7eb67b9a2ae373/2020-78.pdf,https://media.tanzlii.org/media/legislation/331858/source_file/0f7eb67b9a2ae373/2020-78.pdf,https://media.tanzlii.org/media/legislation/331858/source_file/0f7eb67b9a2ae373/2020-78.pdf,,https://www.tra.go.tz/images/uploads/acts/The_Road_Traffic_Act.pdf,
